layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.156863,0.530167,0.170421,0.572079
1,0.061432,0.341055,0.064684,0.377587
2,0.031856,0.253020,0.042411,0.324732
3,0.047938,0.335797,0.051647,0.358748
4,0.036497,0.309860,0.043433,0.338697
5,0.035355,0.314143,0.045901,0.339452
6,0.031352,0.279803,0.049117,0.352115
7,0.029902,0.274093,0.049438,0.348046
8,0.023786,0.234539,0.050487,0.346267
9,0.019728,0.210042,0.047558,0.336558
10,0.016099,0.195465,0.031563,0.277695
11,0.041325,0.348340,0.032616,0.387314
