layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.086181,0.459557,0.076504,0.417292
1,0.087351,0.413403,0.062463,0.423407
2,0.045316,0.310959,0.041956,0.372668
3,0.049568,0.362460,0.042295,0.357758
4,0.037246,0.326020,0.037230,0.344171
5,0.031836,0.323944,0.055610,0.381144
6,0.024748,0.254751,0.045620,0.358014
7,0.024130,0.277229,0.037638,0.330099
8,0.013440,0.182786,0.031858,0.301549
9,0.012127,0.179537,0.026387,0.279272
10,0.010521,0.177660,0.018069,0.239287
11,0.020138,0.285846,0.017223,0.330437
