skip_from,skip_to,method,rank,rel_error,vs_full,params,full_rank_error
5,6,lowrank,8,0.8506007609544782,4.3443671124541074,12288,0.1957939416574717
5,6,lowrank,16,0.7967901017116441,4.069533995620635,24576,0.1957939416574717
5,6,lowrank,32,0.7437625884319937,3.7987007265687325,49152,0.1957939416574717
5,6,lowrank,64,0.6560236591033486,3.3505820126499,98304,0.1957939416574717
5,6,lowrank,128,0.5479289088461595,2.798497768662956,196608,0.1957939416574717
5,6,lowrank,256,0.40539825660579293,2.0705352431946533,393216,0.1957939416574717
5,6,rrr,8,0.6862497236133107,3.5049589267366525,12288,0.1957939416574717
5,6,rrr,16,0.609096924700519,3.1109079246491347,24576,0.1957939416574717
5,6,rrr,32,0.5275192873271047,2.694257456903157,49152,0.1957939416574717
5,6,rrr,64,0.44411907523933714,2.2682983522355027,98304,0.1957939416574717
5,6,rrr,128,0.3609670909540768,1.8436070488103478,196608,0.1957939416574717
5,6,rrr,256,0.27852394539095743,1.4225360755963343,393216,0.1957939416574717
5,6,lora,8,0.8313182668409944,4.245883502847753,12288,0.1957939416574717
5,6,lora,16,0.7543334143754372,3.8526902721795793,24576,0.1957939416574717
5,6,lora,32,0.6290550307210434,3.212842161487983,49152,0.1957939416574717
5,6,lora,64,0.5039974207936496,2.574121632810065,98304,0.1957939416574717
5,6,lora,128,0.39566699508632464,2.0208336975947776,196608,0.1957939416574717
5,6,lora,256,0.2993286975101906,1.528794481464835,393216,0.1957939416574717
2,4,lowrank,8,0.8725015878896057,2.604108430197982,12288,0.33504810236464394
2,4,lowrank,16,0.8254221443043327,2.4635929542021358,24576,0.33504810236464394
2,4,lowrank,32,0.7567640440449345,2.2586728254957347,49152,0.33504810236464394
2,4,lowrank,64,0.6826787233091448,2.0375543645555796,98304,0.33504810236464394
2,4,lowrank,128,0.5826155211610031,1.738901122104919,196608,0.33504810236464394
2,4,lowrank,256,0.46274360607173465,1.3811258825400403,393216,0.33504810236464394
2,4,rrr,8,0.7307626549260474,2.1810678818014444,12288,0.33504810236464394
2,4,rrr,16,0.6412073975991244,1.9137771355030004,24576,0.33504810236464394
2,4,rrr,32,0.5484916224130981,1.6370533620159309,49152,0.33504810236464394
2,4,rrr,64,0.4701669293435208,1.403281875125568,98304,0.33504810236464394
2,4,rrr,128,0.4056151776499771,1.210617743503984,196608,0.33504810236464394
2,4,rrr,256,0.35839248631011916,1.0696747236612274,393216,0.33504810236464394
2,4,lora,8,0.8892168359059844,2.6539975294001823,12288,0.33504810236464394
2,4,lora,16,0.8014244326862794,2.3919682786743937,24576,0.33504810236464394
2,4,lora,32,0.6585439953444293,1.9655207437280575,49152,0.33504810236464394
2,4,lora,64,0.5319811899541346,1.5877755647610319,98304,0.33504810236464394
2,4,lora,128,0.44370937877639177,1.3243154509601973,196608,0.33504810236464394
2,4,lora,256,0.38389670609269755,1.1457957928527231,393216,0.33504810236464394
0,1,lowrank,8,0.9333187720445573,7.089680654322205,12288,0.1316446843731335
0,1,lowrank,16,0.9043309756309771,6.869483412393186,24576,0.1316446843731335
0,1,lowrank,32,0.8471734186161428,6.4353028962029,49152,0.1316446843731335
0,1,lowrank,64,0.7692045027706911,5.8430350335335905,98304,0.1316446843731335
0,1,lowrank,128,0.6809055663981951,5.172298218044546,196608,0.1316446843731335
0,1,lowrank,256,0.5456387080372131,4.144783442152936,393216,0.1316446843731335
0,1,rrr,8,0.667313505552616,5.069050138486288,12288,0.1316446843731335
0,1,rrr,16,0.59441475305346,4.515296275606934,24576,0.1316446843731335
0,1,rrr,32,0.5074315726237115,3.8545542118924314,49152,0.1316446843731335
0,1,rrr,64,0.41349463541915626,3.1409899867065474,98304,0.1316446843731335
0,1,rrr,128,0.3166873726484109,2.4056221803137348,196608,0.1316446843731335
0,1,rrr,256,0.20943869322963404,1.590939233338137,393216,0.1316446843731335
0,1,lora,8,0.9065932781733419,6.886668326111027,12288,0.1316446843731335
0,1,lora,16,0.8035186547600863,6.103692363928605,24576,0.1316446843731335
0,1,lora,32,0.6942945884933047,5.274003973646191,49152,0.1316446843731335
0,1,lora,64,0.5542666109145731,4.210322760496433,98304,0.1316446843731335
0,1,lora,128,0.41129596626163967,3.124288445220188,196608,0.1316446843731335
0,1,lora,256,0.27433728166925747,2.0839222105746122,393216,0.1316446843731335
