seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
1,pneumoniamnist,pneumoniamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7756410256410257,0.7756410256410257,0.0,250,0.625,0,0.0
2,pneumoniamnist,pneumoniamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7916666666666666,0.7916666666666666,0.0,250,0.625,0,0.0
3,pneumoniamnist,pneumoniamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7900641025641025,0.7900641025641025,0.0,250,0.625,0,0.0
1,cifar100,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7126,0.7126,0.0,250,0.01,0,0.0
2,cifar100,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7128,0.7128,0.0,250,0.01,0,0.0
3,cifar100,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.712,0.712,0.0,250,0.01,0,0.0
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7389,0.7389,0.0,250,0.0019,0,0.0
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7362,0.7362,0.0,250,0.0019,0,0.0
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7372,0.7372,0.0,250,0.0019,0,0.0
1,chestmnist,chestmnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.644808986760576,0.644808986760576,0.0,250,0.5317166674096198,0,0.0
2,chestmnist,chestmnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.6360272812374627,0.6360272812374627,0.0,250,0.5317166674096198,0,0.0
3,chestmnist,chestmnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.6463691882494539,0.6463691882494539,0.0,250,0.5317166674096198,0,0.0
1,chestmnist,chestmnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,[],[],[],{},identity,identity,0,0.644808986760576,0.644808986760576,0.0,250,0.5317166674096198,0,0.0
2,chestmnist,chestmnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,[],[],[],{},identity,identity,0,0.6360272812374627,0.6360272812374627,0.0,250,0.5317166674096198,0,0.0
3,chestmnist,chestmnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,[],[],[],{},identity,identity,0,0.6463691882494539,0.6463691882494539,0.0,250,0.5317166674096198,0,0.0
1,pneumoniamnist,pneumoniamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7756410256410257,0.7708333333333334,0.0048076923076922,250,0.625,1626624,7.639039169011037
2,pneumoniamnist,pneumoniamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7916666666666666,0.7948717948717948,-0.0032051282051281,250,0.625,1626624,7.639039169011037
3,pneumoniamnist,pneumoniamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7900641025641025,0.7980769230769231,-0.0080128205128205,250,0.625,1626624,7.639039169011037
1,cifar100,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7126,0.7196,-0.007,250,0.01,1626624,7.639039169011037
2,cifar100,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7128,0.7202,-0.0073999999999999,250,0.01,1626624,7.639039169011037
3,cifar100,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.712,0.7191,-0.0070999999999999,250,0.01,1626624,7.639039169011037
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7389,0.7371,0.0018,250,0.0019,1626624,7.639039169011037
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7362,0.737,-0.0008,250,0.0019,1626624,7.639039169011037
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7372,0.7328,0.0043999999999999,250,0.0019,1626624,7.639039169011037
1,chestmnist,chestmnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.644808986760576,0.6438728658672491,0.0009361208933268,250,0.5317166674096198,1774464,8.333333333333334
2,chestmnist,chestmnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.6360272812374627,0.6327731467035171,0.0032541345339455,250,0.5317166674096198,1774464,8.333333333333334
3,chestmnist,chestmnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.6463691882494539,0.6484643159630901,-0.0020951277136361,250,0.5317166674096198,1774464,8.333333333333334
1,chestmnist,chestmnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.644808986760576,0.6436054027548701,0.0012035840057058,250,0.5317166674096198,1626624,7.639039169011037
2,chestmnist,chestmnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.6360272812374627,0.6351803147149289,0.0008469665225337,250,0.5317166674096198,1626624,7.639039169011037
