seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
1,pneumoniamnist,pneumoniamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8926282051282052,0.8926282051282052,0.0,250,0.625,0,0.0
2,pneumoniamnist,pneumoniamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8589743589743589,0.8589743589743589,0.0,250,0.625,0,0.0
3,pneumoniamnist,pneumoniamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8798076923076923,0.8798076923076923,0.0,250,0.625,0,0.0
1,cifar100,cifar100,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8694,0.8694,0.0,250,0.01,0,0.0
2,cifar100,cifar100,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8735,0.8735,0.0,250,0.01,0,0.0
3,cifar100,cifar100,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8735,0.8735,0.0,250,0.01,0,0.0
1,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7463,0.7463,0.0,250,0.0019,0,0.0
2,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7375,0.7375,0.0,250,0.0019,0,0.0
3,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7445,0.7445,0.0,250,0.0019,0,0.0
1,chestmnist,chestmnist,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.6286274684616413,0.6286274684616413,0.0,250,0.5317166674096198,0,0.0
2,chestmnist,chestmnist,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.5851201355146436,0.5851201355146436,0.0,250,0.5317166674096198,0,0.0
3,chestmnist,chestmnist,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.6061605670217982,0.6061605670217982,0.0,250,0.5317166674096198,0,0.0
1,chestmnist,chestmnist,facebook/dinov2-base,Adam,0.01,Linear,linear,,,256,5,[],[],[],{},identity,identity,0,0.6286274684616413,0.6286274684616413,0.0,250,0.5317166674096198,0,0.0
2,chestmnist,chestmnist,facebook/dinov2-base,Adam,0.01,Linear,linear,,,256,5,[],[],[],{},identity,identity,0,0.5851201355146436,0.5851201355146436,0.0,250,0.5317166674096198,0,0.0
3,chestmnist,chestmnist,facebook/dinov2-base,Adam,0.01,Linear,linear,,,256,5,[],[],[],{},identity,identity,0,0.6061605670217982,0.6061605670217982,0.0,250,0.5317166674096198,0,0.0
1,pneumoniamnist,pneumoniamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.8926282051282052,0.8862179487179487,0.0064102564102564,250,0.625,6498816,7.639114577691113
2,pneumoniamnist,pneumoniamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.8589743589743589,0.8541666666666666,0.0048076923076922,250,0.625,6498816,7.639114577691113
3,pneumoniamnist,pneumoniamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.8798076923076923,0.8717948717948718,0.0080128205128204,250,0.625,6498816,7.639114577691113
