config,identity_chestmnist_acc,identity_cifar100_acc,identity_imagenet-1k_acc,identity_pneumoniamnist_acc,linear_chestmnist_acc,linear_chestmnist_fitcifar100_acc,linear_chestmnist_fitimagenet-1k_acc,linear_chestmnist_fitpneumoniamnist_acc,linear_cifar100_acc,linear_imagenet-1k_acc,linear_pneumoniamnist_acc
"Encoder: google/vit-large-patch16-224, Block: [(16, 17), (22, 23)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6490438193732447,,,,0.65140641019926,0.6467258057326261,0.6507377524183123,0.6517184504970356,0.8627,0.7733,0.8012820512820513
"Encoder: google/vit-large-patch16-224, Block: [(17, 23)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.632149066107966,,,,0.6518967592386217,0.6389247982882361,0.6253287567422993,0.6458788392100923,0.8473,0.6627,0.8076923076923077
"Encoder: google/vit-large-patch16-224, Block: [(2, 4), (18, 23)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6383007176926849,,,,0.6518967592386217,0.6502028261935542,0.6450318726875585,0.649846208710382,0.8345,0.6702,0.7932692307692307
"Encoder: google/vit-large-patch16-224, Block: [(20, 21)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6485534703338831,,,,0.6506931752329158,0.6481522756653145,0.6471270004011946,0.6503811349351402,0.8627,0.7764,0.7996794871794872
"Encoder: google/vit-large-patch16-224, Block: [(20, 22)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.643337939642491,,,,0.649757054339589,0.6475727722551599,0.6473498863281772,0.648375161592297,0.8608,0.7449,0.8060897435897436
"Encoder: google/vit-large-patch16-224, Block: [(20, 23)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6473498863281772,,,,0.6472607319573842,0.6484197387776935,0.6475281950697633,0.6479739669237284,0.8615,0.7436,0.8044871794871795
"Encoder: google/vit-large-patch16-224, Block: [(21, 22)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.64948959122721,,,,0.6537244238398787,0.6519413364240182,0.6508714839745019,0.652966611688138,0.8638,0.7715,0.8028846153846154
"Encoder: google/vit-large-patch16-224, Block: [(22, 23)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.649935363081175,,,,0.6536798466544822,0.6517630276824321,0.6504257121205367,0.653144920429724,0.8662,0.7877,0.8060897435897436
"Encoder: google/vit-large-patch16-224, Block: [(3, 4), (19, 23)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6321936432933625,,,,0.6509606383452948,0.6505594436767262,0.6390139526590292,0.6458788392100923,0.8562,0.7115,0.7964743589743589
"Encoder: google/vit-large-patch16-224, Block: [(3, 4), (20, 23)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6419114697098025,,,,0.6489992421878482,0.6542147728792405,0.649935363081175,0.6469041144742121,0.8587,0.7354,0.7964743589743589
"Encoder: google/vit-large-patch16-224, Block: [(3, 4)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6447198323897829,,,,0.6586279142334953,0.656354477778273,0.649846208710382,0.6515847189408461,0.8632,0.7824,0.7932692307692307
"Encoder: google/vit-large-patch16-224, Block: [], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6525654170195694,0.8657,0.7838,0.7948717948717948,0.6525654170195694,,,,,,
