seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
1,pneumoniamnist,pneumoniamnist,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8974358974358975,0.8974358974358975,0.0,250,0.625,0,0.0
2,pneumoniamnist,pneumoniamnist,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8814102564102564,0.8814102564102564,0.0,250,0.625,0,0.0
3,pneumoniamnist,pneumoniamnist,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8846153846153846,0.8846153846153846,0.0,250,0.625,0,0.0
1,cifar100,cifar100,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.2903,0.2903,0.0,250,0.01,0,0.0
2,cifar100,cifar100,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.2879,0.2879,0.0,250,0.01,0,0.0
3,cifar100,cifar100,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.2927,0.2927,0.0,250,0.01,0,0.0
1,imagenet-1k,imagenet-1k,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.0757,0.0757,0.0,250,0.0019,0,0.0
2,imagenet-1k,imagenet-1k,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.0736,0.0736,0.0,250,0.0019,0,0.0
3,imagenet-1k,imagenet-1k,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.0767,0.0767,0.0,250,0.0019,0,0.0
1,chestmnist,chestmnist,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7013328578433558,0.7013328578433558,0.0,250,0.5317166674096198,0,0.0
2,chestmnist,chestmnist,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.6429813221593189,0.6429813221593189,0.0,250,0.5317166674096198,0,0.0
3,chestmnist,chestmnist,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.6962956358935497,0.6962956358935497,0.0,250,0.5317166674096198,0,0.0
1,chestmnist,chestmnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,[],[],[],{},identity,identity,0,0.7013328578433558,0.7013328578433558,0.0,250,0.5317166674096198,0,0.0
2,chestmnist,chestmnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,[],[],[],{},identity,identity,0,0.6429813221593189,0.6429813221593189,0.0,250,0.5317166674096198,0,0.0
3,chestmnist,chestmnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,[],[],[],{},identity,identity,0,0.6962956358935497,0.6962956358935497,0.0,250,0.5317166674096198,0,0.0
1,pneumoniamnist,pneumoniamnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.8974358974358975,0.905448717948718,-0.0080128205128204,250,0.625,6498816,7.639114577691113
2,pneumoniamnist,pneumoniamnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.8814102564102564,0.8798076923076923,0.001602564102564,250,0.625,6498816,7.639114577691113
3,pneumoniamnist,pneumoniamnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.8846153846153846,0.8894230769230769,-0.0048076923076922,250,0.625,6498816,7.639114577691113
1,cifar100,cifar100,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.2903,0.2975,-0.0071999999999999,250,0.01,6498816,7.639114577691113
2,cifar100,cifar100,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.2879,0.3031,-0.0151999999999999,250,0.01,6498816,7.639114577691113
3,cifar100,cifar100,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.2927,0.3037,-0.011,250,0.01,6498816,7.639114577691113
1,imagenet-1k,imagenet-1k,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.0757,0.0795,-0.0037999999999999,250,0.0019,6498816,7.639114577691113
2,imagenet-1k,imagenet-1k,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.0736,0.0742,-0.0006,250,0.0019,6498816,7.639114577691113
3,imagenet-1k,imagenet-1k,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.0767,0.0764,0.0003,250,0.0019,6498816,7.639114577691113
1,chestmnist,chestmnist,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7013328578433558,0.6968751393037044,0.0044577185396513,250,0.5317166674096198,7089408,8.333333333333334
2,chestmnist,chestmnist,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.6429813221593189,0.6884500512637632,-0.0454687291044443,250,0.5317166674096198,7089408,8.333333333333334
3,chestmnist,chestmnist,microsoft/rad-dino,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.6962956358935497,0.6961173271519636,0.000178308741586,250,0.5317166674096198,7089408,8.333333333333334
1,chestmnist,chestmnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7013328578433558,0.7022244015512861,-0.0008915437079303,250,0.5317166674096198,6498816,7.639114577691113
2,chestmnist,chestmnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.6429813221593189,0.6411090803726652,0.0018722417866536,250,0.5317166674096198,6498816,7.639114577691113
3,chestmnist,chestmnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.6962956358935497,0.6969197164891009,-0.0006240805955511,250,0.5317166674096198,6498816,7.639114577691113
1,chestmnist,pneumoniamnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7013328578433558,0.7022689787366826,-0.0009361208933268,250,0.5317166674096198,6498816,7.639114577691113
2,chestmnist,pneumoniamnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.6429813221593189,0.641599429412027,0.0013818927472919,250,0.5317166674096198,6498816,7.639114577691113
3,chestmnist,pneumoniamnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.6962956358935497,0.6976775286408416,-0.0013818927472919,250,0.5317166674096198,6498816,7.639114577691113
1,chestmnist,cifar100,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7013328578433558,0.700307582579236,0.0010252752641197,250,0.5317166674096198,6498816,7.639114577691113
2,chestmnist,cifar100,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.6429813221593189,0.6472161547719877,-0.0042348326126687,250,0.5317166674096198,6498816,7.639114577691113
3,chestmnist,cifar100,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.6962956358935497,0.6933089644719832,0.0029866714215665,250,0.5317166674096198,6498816,7.639114577691113
1,chestmnist,imagenet-1k,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7013328578433558,0.697276333972273,0.0040565238710827,250,0.5317166674096198,6498816,7.639114577691113
2,chestmnist,imagenet-1k,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.6429813221593189,0.6572905986715999,-0.0143092765122809,250,0.5317166674096198,6498816,7.639114577691113
3,chestmnist,imagenet-1k,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.6962956358935497,0.6939330450675344,0.0023625908260153,250,0.5317166674096198,6498816,7.639114577691113
1,pneumoniamnist,pneumoniamnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 4)]",[],[],{},identity,identity,4,0.8974358974358975,0.8541666666666666,0.0432692307692308,250,0.625,27767040,32.63911457769111
2,pneumoniamnist,pneumoniamnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 4)]",[],[],{},identity,identity,4,0.8814102564102564,0.842948717948718,0.0384615384615384,250,0.625,27767040,32.63911457769111
3,pneumoniamnist,pneumoniamnist,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 4)]",[],[],{},identity,identity,4,0.8846153846153846,0.8766025641025641,0.0080128205128204,250,0.625,27767040,32.63911457769111
1,cifar100,cifar100,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 4)]",[],[],{},identity,identity,4,0.2903,0.2828,0.0075,250,0.01,27767040,32.63911457769111
2,cifar100,cifar100,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 4)]",[],[],{},identity,identity,4,0.2879,0.2915,-0.0035999999999999,250,0.01,27767040,32.63911457769111
3,cifar100,cifar100,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 4)]",[],[],{},identity,identity,4,0.2927,0.2904,0.0023,250,0.01,27767040,32.63911457769111
1,imagenet-1k,imagenet-1k,microsoft/rad-dino,Adam,0.01,Linear,linear,,,256,5,"[(0, 4)]",[],[],{},identity,identity,4,0.0757,0.0688,0.0069,250,0.0019,27767040,32.63911457769111
