seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
1,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8461538461538461,0.8461538461538461,0.0,250,0.625,0,0.0
2,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8573717948717948,0.8573717948717948,0.0,250,0.625,0,0.0
3,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7948717948717948,0.7948717948717948,0.0,250,0.625,0,0.0
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8646,0.8646,0.0,250,0.01,0,0.0
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8609,0.8609,0.0,250,0.01,0,0.0
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8657,0.8657,0.0,250,0.01,0,0.0
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7864,0.7864,0.0,250,0.0019,0,0.0
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7835,0.7835,0.0,250,0.0019,0,0.0
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7838,0.7838,0.0,250,0.0019,0,0.0
1,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.5803949538626131,0.5803949538626131,0.0,250,0.5317166674096198,0,0.0
2,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.6116435608255695,0.6116435608255695,0.0,250,0.5317166674096198,0,0.0
3,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.6525654170195694,0.6525654170195694,0.0,250,0.5317166674096198,0,0.0
1,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,[],[],[],{},identity,identity,0,0.5803949538626131,0.5803949538626131,0.0,250,0.5317166674096198,0,0.0
2,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,[],[],[],{},identity,identity,0,0.6116435608255695,0.6116435608255695,0.0,250,0.5317166674096198,0,0.0
3,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,[],[],[],{},identity,identity,0,0.6525654170195694,0.6525654170195694,0.0,250,0.5317166674096198,0,0.0
1,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.8461538461538461,0.8493589743589743,-0.0032051282051281,250,0.625,74527744,24.652806004931847
2,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.8573717948717948,0.8621794871794872,-0.0048076923076924,250,0.625,74527744,24.652806004931847
